City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,Barcelos,41.5388,-8.6151,82.92,45,99,8.08,PT,2022-05-12 14:42:20
180,Atasu,48.6814,71.6433,62.13,39,9,4.0,KZ,2022-05-12 14:41:27
181,Verkhnyaya Toyma,62.2349,44.9985,61.16,52,68,9.91,RU,2022-05-12 14:42:21
182,Vestmanna,62.1564,-7.1664,45.52,87,100,6.91,FO,2022-05-12 14:42:22
183,Iqaluit,63.7506,-68.5145,20.93,79,40,24.16,CA,2022-05-12 14:42:23
184,Mahenge,-8.6833,36.7167,68.14,74,70,1.97,TZ,2022-05-12 14:42:24
185,Paidha,2.4167,30.9855,73.9,60,100,4.0,UG,2022-05-12 14:38:30
186,Lagoa Da Prata,-20.0225,-45.5436,79.2,49,96,4.03,BR,2022-05-12 14:43:25
187,Terrace Bay,48.7834,-87.1,44.67,99,100,7.52,CA,2022-05-12 14:39:32
188,Glyadyanskoye,54.9075,65.0883,59.13,39,64,3.91,RU,2022-05-12 14:43:26
189,Gijon,43.5357,-5.6615,63.45,85,100,8.99,ES,2022-05-12 14:43:26
190,Diffa,13.3154,12.6113,107.71,15,29,5.57,NE,2022-05-12 14:43:27
191,Beira,-19.8436,34.8389,80.69,69,20,9.22,MZ,2022-05-12 14:43:28
192,Kruisfontein,-34.0033,24.7314,65.88,74,1,9.71,ZA,2022-05-12 14:43:28
193,Ponta Do Sol,32.6667,-17.1,73.71,75,8,2.21,PT,2022-05-12 14:43:29
194,Tukrah,32.5341,20.5791,65.8,63,80,17.74,LY,2022-05-12 14:43:29
195,Tessalit,20.1986,1.0114,104.49,4,0,5.53,ML,2022-05-12 14:43:30
196,Storsteinnes,69.2408,19.2344,41.65,100,100,4.12,NO,2022-05-12 14:43:30
197,Antofagasta,-23.65,-70.4,70.21,53,38,5.97,CL,2022-05-12 14:41:20
198,Saldanha,-33.0117,17.9442,68.05,62,67,7.29,ZA,2022-05-12 14:40:38
199,Machilipatnam,16.1667,81.1333,82.08,80,83,7.58,IN,2022-05-12 14:43:31
200,Hofn,64.2539,-15.2082,37.42,75,100,11.5,IS,2022-05-12 14:43:32
201,Pritomskiy,53.7724,87.6082,53.37,36,0,4.52,RU,2022-05-12 14:43:32
202,Bambous Virieux,-20.3428,57.7575,75.45,88,40,2.3,MU,2022-05-12 14:43:33
203,Ous,60.9058,61.5186,54.68,48,6,3.06,RU,2022-05-12 14:43:33
204,Olafsvik,64.8945,-23.7142,35.51,91,100,29.66,IS,2022-05-12 14:40:32
205,Araouane,18.9048,-3.5265,108.3,4,4,12.19,ML,2022-05-12 14:43:34
206,Abnub,27.2696,31.1511,98.82,12,0,14.5,EG,2022-05-12 14:43:35
207,Padang,-0.9492,100.3543,79.77,75,100,2.3,ID,2022-05-12 14:43:35
208,Cravo Norte,6.3017,-70.2041,86.61,60,87,4.63,CO,2022-05-12 14:43:36
209,Luce,48.4369,1.4636,68.56,55,100,5.99,FR,2022-05-12 14:43:36
210,Darnah,32.767,22.6367,66.02,62,100,9.89,LY,2022-05-12 14:43:37
211,Marystown,47.1666,-55.1483,50.76,87,76,15.46,CA,2022-05-12 14:43:10
212,Komsomolskiy,40.4272,71.7189,79.52,36,100,6.91,UZ,2022-05-12 14:43:38
213,Kaniama,-7.5667,24.1833,84.74,43,94,3.36,CD,2022-05-12 14:43:38
214,Hihya,30.6713,31.588,80.87,22,52,13.82,EG,2022-05-12 14:43:39
215,Ostrovnoy,68.0531,39.5131,46.11,74,96,10.85,RU,2022-05-12 14:43:39
216,Olinda,-8.0089,-34.8553,83.93,74,75,9.22,BR,2022-05-12 14:41:54
217,Bure,10.7,37.0667,79.3,24,80,4.65,ET,2022-05-12 14:43:41
218,Sharan,54.8167,54.0,46.78,91,100,15.32,RU,2022-05-12 14:43:42
219,Omboue,-1.5746,9.2618,81.3,82,85,7.29,GA,2022-05-12 14:43:42
220,Voyvozh,62.892,54.9635,53.64,48,48,8.3,RU,2022-05-12 14:43:43
